ACCX,GYRX,ACCY,GYRY,ACCZ,GYRZ
16688,65167,52,138,63284,45
16668,65166,65384,121,63216,57
16760,65172,65508,152,63140,48
16700,65182,36,153,63248,45
16692,65187,65484,146,63260,60
16672,65168,65504,182,63284,70
16760,65170,65452,148,63316,30
16724,65171,65508,131,63040,25
16684,65147,24,151,63264,19
16712,65153,16,105,63400,30
16680,65176,65300,115,63320,37
16668,65170,65516,151,63216,35
16648,65172,48,129,63336,53
16500,65184,40,157,63248,27
16792,65169,65524,159,63328,13
16616,65170,65444,151,63228,46
16760,65156,65480,131,63224,64
16676,65156,65460,126,63184,50
16660,65162,65416,149,63236,48
16656,65158,65464,148,63156,38
16636,65174,65532,142,63248,45
16736,65165,28,131,63256,60
16756,65165,65496,160,63308,44
16636,65164,65468,152,63296,44
16704,65158,65524,139,63308,44
16712,65176,65448,171,63200,60
16760,65177,65472,181,63356,28
16668,65174,65468,178,63104,56
16636,65199,65496,136,63448,47
16672,65177,65472,137,63288,15
16712,65179,65500,146,63324,55
16680,65179,65508,135,63172,27
16724,65159,65472,135,63252,12
16700,65158,65476,177,63316,43
16596,65173,65428,158,63120,37
16700,65193,65440,128,63256,33
16748,65157,65488,150,63244,32
16700,65156,76,119,63304,19
16388,65156,65512,123,63384,55
16720,65161,65520,165,63188,14
16656,65153,65492,143,63196,22
16760,65157,65516,128,63332,38
16624,65184,65532,159,63360,23
16692,65173,65508,169,63244,21
16668,65174,0,127,63316,21
16776,65156,65516,150,63116,46
16692,65165,65496,164,63332,16
16764,65157,65416,121,63156,12
16724,65182,65460,157,63148,27
16604,65164,16,128,63288,34
16740,65152,65488,169,63244,46
16660,65176,65492,137,63316,52
16668,65152,65476,156,63312,32
16608,65167,65532,162,63380,51
16660,65161,65444,149,63204,57
16620,65188,65396,151,63376,59
16620,65169,8,156,63276,31
16704,65175,65448,164,63212,38
16704,65178,65472,130,63276,39
16732,65149,65504,130,63196,15
16680,65169,65484,149,63256,25
16708,65146,65508,133,63304,13
16712,65181,65456,115,63220,25
16668,65173,8,158,63240,13
16700,65171,65508,128,63116,23
16648,65187,72,157,63244,34
16680,65170,65516,161,63260,14
16724,65159,65448,154,63264,37
16668,65173,65476,152,63244,38
16684,65168,56,156,63356,40
16704,65154,96,142,63276,65534
16620,65183,16,145,63408,31
16672,65175,12,123,63196,26
16768,65150,20,145,63176,73
16764,65162,36,147,63080,44
16796,65176,65508,130,63192,67
16592,65177,65528,124,63280,34
16616,65166,65468,127,63208,66
16612,65176,65528,141,63200,56
16716,65165,65428,134,63308,43
16756,65156,65500,161,63188,40
16608,65174,8,157,63480,56
16712,65162,65472,148,63152,51
16648,65176,65532,134,63188,58
16636,65172,65492,144,63120,40
16668,65138,65504,148,63224,69
16644,65166,65432,138,63352,34
16768,65169,65420,134,63124,50
16724,65161,65488,167,63296,44
16692,65172,65520,143,63352,25
16884,65170,8,137,63264,58
16872,65170,65476,169,63152,52
16784,65174,100,177,63340,33
16704,65170,65472,153,63244,40
16520,65194,44,160,63152,20
16672,65180,65448,145,63276,44
16732,65201,65460,122,63272,26
16748,65164,65464,132,63244,29
16764,65176,60,147,63288,3
16816,65176,65488,164,63320,40
16672,65171,65500,116,63392,9
16616,65168,65496,170,63324,31
16724,65191,65472,135,63220,56
16676,65170,65460,155,63316,19
16628,65166,65480,153,63192,39
16616,65180,65504,134,63192,54
16732,65192,65484,139,63284,26
16780,65156,65484,151,63240,30
16656,65191,65452,162,63188,13
16636,65181,65508,184,63292,40
16664,65144,16,140,63248,55
16676,65167,65484,137,63380,45
16580,65173,4,143,63200,37
16652,65158,65496,124,63288,26
16612,65165,65492,155,63340,12
16624,65181,65476,143,63324,22
16736,65168,44,138,63280,19
16700,65168,65480,154,63216,28
16596,65185,65528,157,63392,30
16768,65163,65468,142,63272,45
16732,65177,65456,149,63324,39
16728,65153,12,136,63368,13
16672,65171,65468,144,63252,44
16612,65155,65460,139,63292,18
16628,65162,65464,146,63312,30
16796,65149,24,149,63320,20
16628,65164,65452,171,63192,30
16640,65171,20,129,63296,15
16680,65173,65524,162,63304,25
16708,65170,65524,133,63168,30
16620,65155,20,150,63224,36
16704,65154,65516,166,63216,49
16680,65162,65492,137,63304,38
16696,65178,65436,148,63252,47
16604,65146,20,169,63160,44
16592,65182,24,152,63076,60
16720,65148,65520,128,63252,39
16740,65178,65472,146,63268,43
16660,65180,236,128,63040,42
16728,65164,65368,160,63360,35
16716,65165,65288,143,63288,29
16672,65175,16,161,63192,30
16752,65161,56,144,63208,14
16668,65189,65496,156,63264,20
16692,65156,8,165,63232,39
16892,65155,52,113,63020,39
16712,65166,65412,133,63156,51
16712,65182,65492,151,63320,42
16756,65156,65508,140,63292,48
16656,65188,65508,144,63292,23
16608,65182,0,137,63332,34
16624,65157,65528,163,63208,23
16792,65172,65520,133,63300,29
16660,65186,4,161,63268,36
16752,65168,65500,126,63264,15
16692,65145,20,125,63336,15
16616,65152,65488,155,63348,26
16740,65179,65524,165,63068,6
16616,65158,65496,161,63292,19
16704,65168,65508,117,63132,32
16716,65170,65508,145,63188,24
16688,65173,65492,136,63328,20
16632,65171,65448,143,63464,40
16716,65164,28,151,63228,19
16728,65196,65472,138,63296,16
16624,65143,65448,114,63260,40
16756,65153,65484,118,63200,59
16716,65141,65516,173,63312,47
16832,65156,65508,134,63308,61
16808,65166,24,117,63320,50
16688,65175,28,118,63200,39
16720,65177,65488,121,63324,18
16660,65188,65496,142,63184,11
16752,65155,65484,161,63116,29
16780,65168,65484,135,63264,44
16664,65160,28,124,63288,20
16676,65185,65436,149,63176,31
16720,65176,65468,180,63256,28
16636,65171,28,136,63176,21
16656,65156,65460,145,63272,15
16644,65168,65504,143,63216,13
16700,65168,96,143,63236,20
16640,65163,65476,175,63316,36
16644,65183,65436,141,63352,6
16680,65174,65504,115,63260,8
16632,65169,56,141,63208,26
16700,65159,65472,144,63180,40
16564,65165,65400,154,63204,18
16816,65168,65456,148,63416,39
16740,65148,65484,122,63176,56
16756,65158,24,178,63324,33
16692,65173,65304,151,63216,28
16648,65158,65456,120,63204,53
16632,65179,65492,138,63220,22
16740,65174,65508,156,63128,39
16744,65142,65472,149,63380,40
16620,65181,65476,132,63312,58
16692,65144,65488,142,63328,26
16432,65194,8,141,63076,43
